PairID,Protocol/Results,PMCID,Link,Text,Allocation sequence generation (select the best answer),Allocation concealment (select the best answer),Used full article
33,Results,PMC3625218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3625218/,"...Sequentially numbered, opaque, sealed envelopes were distributed to patients by an investigator who was not involved in acupuncture procedures and data analyses....Initial diagnosis and assessment were made by an urologist who was not involved in the study....",Described‚ not truly random,Concealed,Yes
34,Protocol,PMC4676178,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4676178/,"...In France and in Western Canada, baseline data will be collected and participants will be screened and enrolled to the study prior to the receipt of the intervention. In the UK and Quebec, women will complete the baseline questionnaire prior to the delivery of the intervention, but interested participants will sign the consent form and return the baseline questionnaire only after the workshop is completed. In a second screening stage, a research assistant confirms eligibility status and interest in enrolling in the trial via telephone follow-up within 1 week of the workshop....Using block randomization with an alternating block size of 2 or 4, we will randomly allocate clusters (via a 1:1 ratio and stratified by site) to the intervention or control group via a computer-generated random digit performed by an independent statistician (Fig. 2)....",Described‚ truly random ,Concealed,No
34,Results,PMC6593322,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593322/,"...In France and in Western Canada, baseline data were collected and participants were screened and enroled prior to randomisation. In the UK and Quebec, women completed the baseline questionnaire prior to randomisation, but interested participants only signed the consent form and returned the baseline questionnaire after the workshop was completed....In a second screening stage, a research assistant confirmed eligibility status and interest in enroling in the trial via telephone follow-up within 1 week of the workshop....An independent statistician blindly allocated organisations using computer-generated stochastic digits....",Described‚ truly random ,Concealed,No
35,Protocol,PMC3045306,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045306/,,Not reported,Not reported,No
35,Results,PMC4511259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4511259/,,Not reported,Not reported,No
36,Protocol,PMC3816245,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816245/,...Eligible participants accepted into the programme will be randomised based on an allocation sequence generated by an independent person not involved in the study through a true randomisation process (http://www.random.org). Numbers corresponding to treatment group (1 or 2) will be placed in sealed opaque envelopes with the sequential order number written on each envelope to ensure participants are allocated according to the predetermined sequence....A member of the research team will open the envelope after all screening procedures have occurred and after the diagnostic interview has been conducted....,Described‚ truly random ,Concealed,No
36,Results,PMC4407900,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4407900/,...Eligible participants accepted into the study were randomized based on an allocation sequence generated by an independent person not involved in the study via a true randomization process (www.random.org)....,Described‚ truly random ,Not reported,No
37,Protocol,PMC4235173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235173/,"...Participants will be allocated either an ‚Äòexperimental‚Äô or an ‚Äòactive control‚Äô user ID to access the training URL by the chief investigator (HH) using Minim, a method of minimization [47]....Participant group allocation details will be documented and stored securely by the chief investigator in a password protected file....",Described‚ truly random ,Not reported,No
37,Results,PMC9007089,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9007089/,"...On completion of the T2 assessment, participants were randomized into two groups by the lead researcher (H.H.) and allocated log-in details to either the adaptive (experimental group, n = 31) or nonadaptive (active control group, n = 31) web-based working memory training program....",Described‚ truly random ,Not reported,Yes
38,Protocol,PMC3727984,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3727984/,...Eligible patients will be invited by their treating oncologists and asked to give written informed consent....Randomization will be performed on-line via a secure internet facility in a 1:1 ratio by the TENALEA Clinical Trial Data Management System using randomly permuted blocks with maximum block size 4 within strata formed by nine spiritual counsellors. The researcher contacts the randomization website after patients have signed informed consent. The researcher enters the patient into the randomization program linked to the spiritual counsellor of the patients' hospital....Then the researcher receives the random treatment allocation (intervention versus control) for the patient....,Described‚ truly random ,Concealed,No
38,Results,PMC6529670,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6529670/,"...Eligible patients were invited by their own oncologist or oncology nurse and asked if the researcher could inform them about the study details....Randomization was performed online via a secure Internet facility in a 1:1 ratio by the TENALEA Clinical Trial Data Management System using randomly permuted blocks with maximum block size 4 within strata formed by seven spiritual counselors....A.M.W., H.-J.K., C.G., J.S., N.A.W.P.S., F.Y.F.L.D.V., W.G.M., I.D.H., and H.W.M.V.L. included patients in the study....",Described‚ truly random ,Concealed,No
39,Protocol,PMC5826976,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826976/,"...Once a list is generated, the study team actively reaches out to each patient after the outpatient clinic visit to provide them with study information....Once eligibility is determined, an IRB-approved consent designee obtains an IRB-approved written informed consent form (ICF) in the outpatient clinic or at the study office....At randomization, the PI or study coordinator assign strata by participant variables, then assign the arm after generating a random number out of all possible blocks using random.org....Only the principal investigator (PI) and the study coordinator are designated to conduct the randomization procedure. The PI or the study coordinator report the randomization procedure to the participant orally and record it on the randomization sheet....",Described‚ truly random ,Not concealed,No
39,Results,PMC8660785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8660785/,"...Blocks were concealed in smart form (Microsoft 365 Enterprise/Excel 2109) to eliminate guessing. We developed an automated tool to general stratum and blocks using Microsoft smart form, which effectively concealed the sequence within each block. At the randomization visit, each participant reviewed and signed the IRB-approved written consent form, then the Study Coordinator conducted the randomization assignment using www.random.org....",Described‚ truly random ,Concealed,No
40,Protocol,PMC6452278,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452278/,"...Patients meeting inclusion criteria are identified by data analysts from each site‚Äôs EHR and eligible patient lists are provided to the site research assistants on a weekly basis. Research assistants invite eligible patients to participate via telephone....At the index visit, the on-site research assistant obtains informed consent and measures BP in accordance with policies set at each participating clinic....The randomization was created by the data coordinating center analyst before the initiation of patient recruitment using SAS 9.4 (SAS Institute, Cary NC)....Study packets are prepared by staff who are not involved in recruitment or enrollment. Each study packet contains a second, unlabeled envelope inside with either the intervention or control writing exercise....",Described‚ truly random ,Concealed,No
40,Results,PMC8678693,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8678693/,"...The randomization was created by the data coordinating center analyst (L.H.) prior to patient recruitment using SAS, version 9.4 (SAS Institute Inc)....",Described‚ truly random ,Not reported,No
41,Protocol,PMC6421712,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6421712/,"...#### Randomisation Study participants eligible for treatment will be randomly assigned in a 1:1 allocation to one of the treatment arms using sealed, opaque sequentially- numbered envelopes prepared by persons independent of the trial. Since treatment success is influenced by infection intensity, stratified block randomization will be used (baseline infection intensity: light infections and moderate/heavy infections) to ensure balanced treatment groups in terms of infection intensity. The computer-generated stratified randomization sequence, provided by a statistician, will vary randomly in blocks of four, six and eight and will be stratified by 2 levels of baseline infection intensity (light: < 1000 EPG, and moderate and heavy: ‚â•1000 EPG T. trichiura infections)....",Described‚ truly random ,Concealed,No
41,Results,PMC8277064,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277064/,"...The trial statistician, who was not involved in any field work, provided a computer-generated stratified (baseline infection intensity: light infections (<1000 EPG), and moderate/heavy infections (‚â•1000 EPG)) allocation sequence with variable block size (blocks of four, six or eight)....Matching ivermectin placebo tablets were provided by the University of Basel. Treatment allocation was concealed: prior to trial initiation two people independent to the study prepared sealed, opaque, and sequentially numbered envelopes containing the treatment arm for each participant....",Described‚ truly random ,Concealed,No
42,Protocol,PMC3652773,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3652773/,"...The schedule was designed by the project biostatistician/co- investigator (PMV) and was reviewed by an independent statistician prior to initiating the study....The randomization schedule is not available to anyone except the project statistician. Only the project coordinator, who does not conduct any assessments related to treatment outcome, is permitted to randomize participants....",Described‚ truly random ,Concealed,No
42,Results,PMC7962797,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7962797/,...All investigators except the project statistician were blinded to the randomization schedule. The project coordinator randomized participants on a rolling admission each fall/winter when the interventions were concurrently implemented....,Described‚ truly random ,Concealed,Yes
43,Protocol,PMC7574300,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7574300/,"...After inclusion in the study by a qualified medical doctor, infusion of the study drug will be managed by the attending ICU nurse....Successfully screened subjects will be randomized into the study by the investigator, or assigned co-investigator, using a secure web-based electronic Case Report System (Zenodotus eCRF), developed and hosted by our institutional research department for in-house randomized trials....This sequence list is then uploaded to the Case Report System, which will use the list to sequentially allocate treatment, as patients are enrolled....The generation of the allocation sequence and configuration of the electronic case report form is performed by a senior research physician from our institution, who is otherwise not involved in the trial conduction....### Concealment mechanism {16b} The treatment assignment is managed by the above-described website and information on a specific treatment assignment is during the trial only available for the nurse who prepares the study drug as described below. After completion of the study drug for each patient, a document with assignment, information on lot-numbers, dosage, and who prepared it is completed and stored in a sealed envelope....The investigator will only after completion of the trial receive a computer- generated code regarding treatment assignment ‚ÄúA‚Äù or ‚ÄúB‚Äù and at the time of unblinding be informed of which is active/placebo....",Described‚ truly random ,Concealed,No
43,Results,PMC8104015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8104015/,...Random assignments of eligible patients were performed using a web-based secure electronic Case Report System (Zenodotus eCRF). Blinding to the allocation sequence was upheld for all treating physicians and study coordinators throughout the trial....,Described‚ truly random ,Concealed,No
44,Protocol,PMC3189404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3189404/,,Not reported,Not reported,No
44,Results,PMC3816864,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816864/,"...The sequence was concealed until the intervention was assigned, and investigators were blinded to group assignment....Between March and December 2008, a total of 4,027 patients were enrolled by 477 primary care physicians from Belgium, Greece, Luxembourg, Portugal, Spain, and the U.K....",Described‚ truly random ,Concealed,Yes
45,Protocol,PMC4464611,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464611/,"...The randomisation list will be computer-generated by an independent external biometrician, who will be blinded to the identity of the participating organisations and residents....Parallel to this, responsible coordinators of the three study centres will independently determine and document the allocation (intervention group or control group) for group A and group B at study begin, without informing the external biometrician. After completion of the baseline measurement of the corresponding recruiting phase, an independent person from the study centre in L√ºbeck will electronically (password-protected, encoded https portal) assign the randomisation list and nursing home data for concealed allocation [44] and will inform the nursing homes in written form. After confirmation of group allocation by the nursing homes, the assigning person will inform the coordinator of the respective study centre about the allocation results....",Described‚ truly random ,Concealed,No
45,Results,PMC6503937,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503937/,...A block-wise balanced randomisation sequence was computer-generated by an external biostatistician and centrally assigned on cluster level....,Described‚ truly random ,Concealed,No
46,Protocol,PMC3476981,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3476981/,"...All these eligible patients will be screened by the multidisciplinary CRPS outpatient team prior to inclusion....They are informed about the study by the research nurse and if they are interested, one week of consideration is scheduled....After this one week of consideration, a custom made computed randomization program is used to blindly allocate patients to one of the two treatment groups. The randomization program is made by an investigator with no clinical involvement in the trial....",Described‚ truly random ,Concealed,No
46,Results,PMC4679993,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4679993/,"...A statistician who had no clinical involvement in the trial (HG) designed a computerised randomisation program. An independent person (MR) allocated patients to one of the two treatment groups (PEPT or conventional treatment (CONV), table 1) in a 1:1 ratio using the randomisation program. The researcher (JPMF) who determined the eligibility of patients was unaware of the randomisation sequence....",Described‚ truly random ,Concealed,No
47,Protocol,PMC4127193,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4127193/,"...Research assistants approached women in the waiting rooms of participating clinics, verified eligibility for the study, and asked women to take an assessment screening that contained items from an abuse assessment screen that is widely used by International Planned Parenthood Federation/Western Hemisphere Region (IPPF/WHR) in Latin American and Caribbean countries and has been previously used in studies occurring in Mexico City [38‚Äì40]....",Described‚ truly random ,Not reported,Yes
47,Results,PMC5506677,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5506677/,,Not reported,Not reported,No
48,Protocol,PMC5968465,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5968465/,...Participants will be randomly allocated to the intervention group (receiving the school mental health intervention during the study) or the waitlist control group (teachers who will not receive any training during the study period) using computer- generated random numbers....Participants will be randomly allocated to the intervention group (receiving school mental health intervention during the study) or the waitlist control group (no training) using computer-generated random numbers. Randomization will be done by a statistician not directly linked to the study using the teachers list provided by the schools. The intervention delivery team will not be involved in the randomization procedure....,Described‚ truly random ,Concealed,No
48,Results,PMC9066809,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9066809/,...Participants were randomly allocated to the intervention group (receiving the school mental health training during the study) or the waitlist control group (no training till after the end of study) using computer-generated random numbers....The intervention delivery team was not involved in the randomization procedure....,Described‚ truly random ,Concealed,No
49,Protocol,PMC6935101,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6935101/,"...Trained research assistants check eligibility criteria, describe the trial, answer any questions the candidates may have and obtain their written informed consent....The 1:1 randomization is stratified per centre and a computer-generated randomization list is created using a permuted block-design. The statistician generated the allocation sequence, psychiatrists and research assistants enrol participants, and research assistants assign participants to the intervention groups according to the randomization list....",Described‚ truly random ,Concealed,No
49,Results,PMC9171654,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9171654/,...Research assistants and psychiatrists reviewed the patient information and validated the inclusion and exclusion criteria....,Described‚ truly random ,Concealed,Yes
50,Protocol,PMC3699393,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3699393/,"...We will recruit up to 150 participants: up to 75 teachers will be collected by Istituto Auxologico Italiano (AUXO) in public school institutes in Milan, and up to 75 nurses will be recruited by the National Council of Research (CNR) in a public hospital in Messina, Italy....",Not reported ,Not reported,No
50,Results,PMC4115267,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4115267/,,Not reported,Not reported,No
51,Protocol,PMC5584035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5584035/,"...At the first screening visit, research nurses identify HIV-infected pregnant women and assess eligibility criteria....Randomization procedures were designed for complete allocation concealment and blinding of all participants, clinic staff, senior research staff, and trial statisticians. Trial arm allocation is performed according to a computer-generated randomization list (generated off- site by a nonstudy statistician) of 2300 individuals with sequence blocks of 10, stratified by study clinic....An independent study pharmacist prepares the vitamin D3 and placebo regimen by labeling bottles with participant IDs based on the randomization list. At the randomization visit, allocation concealment is performed by assigning eligible pregnant women who consented for trial randomization to the next available numeric participant ID which corresponds to a set of prelabeled regimen bottles with the participant ID. As a result of these randomization procedures, all trial participants, research staff, and trial statisticians are not able to determine the allocated trial arm for any trial participant or identify trial participants who are on the same trial regimen. Allocation is completely concealed....",Described‚ truly random ,Concealed,No
51,Results,PMC9012360,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9012360/,"...A non-study statistician computer-generated the randomization list with sequence blocks of 10 that were stratified by antenatal care clinic....Complete allocation concealment was ensured through the use of regimen bottles that were prelabeled with sequentially numbered participant identification numbers. Eligible pregnant women who consented to trial randomization were assigned to the next available numeric participant identification number that corresponded to a set of prelabeled regimen bottles. Therefore, trial participants and research staff were not able to determine the allocated trial arm for any trial participant or identify trial participants who were on the same trial regimen....Research nurses then identified pregnant women living with HIV and assessed eligibility criteria....",Described‚ truly random ,Concealed,No
52,Protocol,PMC5719477,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5719477/,"...Study assessors met with families privately and provided a brief overview of the purpose and procedures of the study to all family members (i.e. the woman, man, and child)....The screener was administered using a laptop-based Audio Computer Assisted Self-Interviewing (ACASI) system....ACASI scored the screener immediately, and if the family was determined to be eligible, the assessor administered the full assessment battery (approximately 2 additional hours total; see Assessments section below) separately to all participating family members....ID numbers of eligible participants were forwarded from the assessors to the Zambia-based study director at the end of each day, who then sent them to a designated US-based research staff member who was not involved in clinical activities. The US-based staff member maintained a computer- generated (via Microsoft Excel) 1:1 randomization sequence stratified by study compound and in blocks of 20 (i.e. each 20 assignments included 10 CETA and 10 TAU)....These lists were not available or viewable to any staff in Zambia. The US-based research staff member would assign a family to the next available slot on the randomization sequence....",Described‚ truly random ,Concealed,No
52,Results,PMC7164585,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164585/,"...Community-based recruitment of participants was conducted by study counselors, in accordance with how a CETA program would most likely be implemented outside the context of a clinical trial....The screening and assessment activities were conducted by a research assistant in a private area of a community location (e.g., church or school)....The man and the woman within a couple were screened for eligibility separately on laptops using audio computer-assisted self-interviewing (ACASI)....Randomization was conducted off-site in the US by an investigator who had no interaction with participants....The randomization list was password protected and securely stored on a separate server from all other study materials and documents. No study staff based in Zambia had access to the list or knowledge of the randomization blocking (blocks of 20) or stratified (by site) design. Eligible couple ID numbers were forwarded from the field site in Zambia to the US within 1 day of completing the screening. The ID numbers were allocated to the next available slot in the randomization list, and the Zambia-based study director was informed about the result of the randomization....",Described‚ truly random ,Concealed,No
53,Protocol,PMC3720554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3720554/,,Not reported,Not reported,No
53,Results,PMC4371624,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371624/,,Not reported,Not reported,No
54,Protocol,PMC4248299,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4248299/,"...A member of the surgical team will introduce the trial to eligible patients, and if they would like more information, they will be introduced to a member of the research team at this initial clinic appointment....Patients will be randomly assigned to hip arthroscopy or physiotherapy with 1:1 allocation using a telephone system provided by the Oxford Clinical Trials Unit....",Described‚ truly random ,Concealed,No
54,Results,PMC6365841,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365841/,...A research nurse at each site performed randomisation using an automated computer generated telephone randomisation system provided by the Oxford Clinical Trials Research Unit....,Described‚ truly random ,Concealed,No
55,Protocol,PMC5134092,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5134092/,...Randomization is handled by an independent statistician....,Described‚ truly random ,Concealed,No
55,Results,PMC6714428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6714428/,...An independent data manager performed the randomisation on 7 October 2015 before the inclusion period of the study....,Described‚ truly random ,Concealed,Yes
56,Protocol,PMC5654192,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5654192/,...Final assignment of arms (0 and 1) to intervention and control was done in a public coin-flip ceremony witnessed by study staff and the Health Scouts....,Described‚ truly random ,Concealed,No
56,Results,PMC7787382,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787382/,...The final assignment of clusters to intervention and control arms was done in a public coin flip ceremony witnessed by study staff and the Health Scouts....,Described‚ truly random ,Concealed,No
57,Protocol,PMC6887087,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6887087/,...The trial medication will be randomised in computer- generated 1:1 blocks of 10 by the study pharmacy (Glostrup Pharmacy). Participants will receive randomisation numbers and the corresponding medication containers sequentially....Randomisation: electronic randomisation in blocks of 10 will be provided by Glostrup Pharmacy. The randomisation list will be stored in a locked cabinet. The patients will be assigned consecutive randomisation numbers....,Described‚ truly random ,Concealed,No
57,Results,PMC8475664,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8475664/,"...Randomization was carried out by a central pharmacy (Glostrup Pharmacy, Denmark) using block randomization with a block size of 10....",Described‚ truly random ,Concealed,No
58,Protocol,PMC6327461,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6327461/,...The allocation sequence will be determined by the date the patients are referred to the study....,Unclear,Not reported,No
58,Results,PMC7511540,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7511540/,"...Patients were referred by the Ear, Nose, and Throat (ENT) department of the Antwerp University Hospital and were randomized in the active control group (TRT/CBT) or the experimental group (TRT/EMDR) by use of a stratification paradigm according to TFI grade (exclusion of grade 1). The allocation sequence was determined by the date that patients were referred to the study....After an initial audiological intake at the University Hospital of Antwerp, patients were referred to the psychotherapist for the screening interview....",Unclear,Not reported,No
59,Protocol,PMC6647387,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6647387/,"...Randomization will be performed with a computer-generated randomization schedule provided by the Department of Medical Statistics of the Medical University of Innsbruck (MUI) in a blinded fashion for the study team and patients. The necessary medication kits are labelled with numbers according to the randomization list by the pharmaceutical company that provides the placebo and nabilone to ensure concealment. Patients will receive these kits in chronological order from blinded study team members at the baseline visit....For interested patients, a member of the qualified research team will explain the study purpose, goals, and requirements in an understandable manner and an institutional review board/independent ethics committee (IRB/IEC)-approved informed consent form will be handed to the patients considering participation....",Described‚ truly random ,Concealed,No
59,Results,PMC7540547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7540547/,...Randomization was performed with a computer‚Äêgenerated schedule provided by the Department of Medical Statistics of the Medical University of Innsbruck. Respective medication boxes with either nabilone or placebo were labeled consecutively (1‚Äì48) according to the randomization list to ensure concealment. Neither a member of the study team nor the participants were informed about treatment assignment....,Described‚ truly random ,Concealed,No
60,Protocol,PMC3567958,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3567958/,"...The randomization procedure will be defined by the Data Coordination Center (DCC) and will be stratified by participating center and disease course, RRMS or SPMS, with variable length blocks. Responsibility for implementation of the computerized randomization procedure will be assigned to the CRO....Allocation to treatment arms will be done centrally by web, and the result on the treatment assigned will be reported automatically in the database. Randomization will be carried out on the same day as the intervention by the surgeon responsible for the intervention....",Described‚ truly random ,Concealed,No
60,Results,PMC5833494,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5833494/,"...Treatment assignment was made known to the treating surgeon (via the electronic case report form) only on the day of the operation....To maintain patient blinding, surgeons were trained to deliver a catheter venography intervention that simulated venous PTA....",Described‚ truly random ,Concealed,Yes
61,Protocol,PMC6869182,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6869182/,...The initial allocation sequence was generated by our data analyst using SAS to assign the clusters to either the intervention or the control arm of the trial....It is the responsibility of the nurse to enroll patients in the study and to only offer home-based contraceptives to women living in intervention clusters....,Described‚ truly random ,Concealed,Yes
61,Results,PMC7439552,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7439552/,,Not reported,Not reported,No
62,Protocol,PMC4031497,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4031497/,"...The study coordinator will then obtain written informed consent from the patient....Patients will be consecutively enrolled at each of the participating centers six to seven days per week whenever a study coordinator is available for enrollment....Allocation will be concealed by means of an online password-protected randomization algorithm designed using Medidata Balance‚Ñ¢ Medidata Solutions, New York City, USA....",Described‚ truly random ,Concealed,No
62,Results,PMC5152707,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5152707/,"...Allocation was concealed by an online password protected randomization algorithm (Medidata Balance; Medidata Solutions, New York City, NY)....",Described‚ truly random ,Concealed,No
63,Protocol,PMC3179718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3179718/,...Each potential participant is interviewed with the diagnostic tool Present State Examination by a psychiatrist or a trained psychologist to evaluate whether the patient meets the criteria of diagnosis....To secure concealment of the allocation sequence the randomisation will be central and telephone-based through The Copenhagen Trial Unit....,Described‚ truly random ,Concealed,No
63,Results,PMC6371462,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371462/,"...Diagnostic eligibility for the study was established with the Present State Examination (PSE) administered by a trained psychiatrist or a psychologist [16, 17]. The randomization was performed centrally and by telephone by the Copenhagen Trial Unit to conceal the allocation sequence....",Described‚ truly random ,Concealed,No
64,Protocol,PMC4672547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4672547/,"...Senior researchers in the project (JAE, JE) generated the randomization sequence. A dedicated project coordinator, who is not located near the participants during sessions and not concerned with outcome assessments, administers the group assignment using the method of concealed envelopes....",Described‚ truly random ,Concealed,Yes
64,Results,PMC7457274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7457274/,"...A designated project coordinator, who was not involved in recruitment or measurement sessions, administered the group assignments using the method of concealed envelopes....",Described‚ truly random ,Concealed,Yes
65,Protocol,PMC3263442,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3263442/,"...If the parent consented, one of the investigators provided verbal and written information about the study within 48 hours of the diagnosis....According to the routine procedure for RCT in clinical settings the investigators received two sets of coded, sealed and opaque envelopes, one set for older children and one for younger children. The envelopes were identical and contained one of two possible instruction sheets, ‚ÄúHospital- based care‚Äù or ‚ÄúHBHC‚Äù....",Described‚ truly random ,Concealed,Yes
65,Results,PMC4947351,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4947351/,"...The investigators received two sets of coded, sealed, opaque envelopes, one for younger children and one for older children....",Not reported ,Concealed,No
66,Protocol,PMC3503643,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503643/,...The names of the two communities within a matched pair were written on identical pieces of paper which were then folded and put in a bag. One paper was blindly drawn from the bag....,Described‚ truly random ,Concealed,No
66,Results,PMC4243194,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4243194/,"...Randomization was carried out by the research team in September 2007. The names of the two communities within a matched pair were written on identical pieces of paper which were then folded and put in a bag. One paper was blindly drawn from the bag, the selected name was assigned as an intervention community, and the other designated as a control....",Described‚ truly random ,Concealed,No
67,Protocol,PMC5337660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5337660/,"...Automated randomisation will be carried out following receipt of all necessary data, and consent by the subject to participate in the study....",Described‚ truly random ,Concealed,Yes
67,Results,PMC7592285,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7592285/,"...All participants consented to inclusion in the study and an automated randomisation procedure was carried out following the receipt of all inclusion data....When the participants clicked the confirmation link, they were randomised and invited to fill in the entry questionnaire (T0) for the study....",Described‚ truly random ,Concealed,No
68,Protocol,PMC6180640,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6180640/,"...Under our local partner, the Health Economics and Epidemiology Research Office (HE2RO) of the University of Witwatersrand, the study will employ at each site a Public Health Nurse; this is the professional cadre that initiates patients onto ART in South Africa....Each site will also have two study assistants, who will be responsible for screening for study eligibility, obtaining informed consent, administering the baseline questionnaire, and performing other non- clinical tasks....Randomization assignments will be kept in sequential order in sealed envelopes and conveyed to participants by the study assistants after completion of the questionnaire....",Unclear,Concealed,No
68,Results,PMC7451542,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7451542/,"...The randomization sequence was generated by a computerized random number generator, and block randomization in blocks of six was implemented by the study PI and assigned to study sites in complete blocks of six to maintain the integrity of the randomization sequence. Study allocations were numbered and stored in sealed envelopes at the study site and were used sequentially....",Described‚ truly random ,Concealed,No
69,Protocol,PMC3260439,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3260439/,"...So as to assure the above, the RCT's randomization list will be kept concealed until the participants' assignment to each group and will be computer generated....This number will be on the outside of an envelope, which will allocate accordingly the participant to either the experimental or the control group (single blind allocation)....",Described‚ truly random ,Concealed,No
69,Results,PMC7846038,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7846038/,"...Participants were randomly assigned to one of the two intervention arms using a computer random number generator, placing random number assignments in an opaque envelope that was prepared by a third party and opened only after participants had provided informed consent concealed allocation....",Described‚ truly random ,Concealed,No
70,Protocol,PMC4919867,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919867/,"...An independent statistician will generate the allocation list for sub-districts. This list is will be kept securely by the trial coordinator and utilised to determine allocation status of new recruits....The trial nurse will then conduct the consent procedures....The trial coordinator will keep the sub-district allocation list secure on a password- protected document. To reduce selection bias, the potential participant will not be informed of the allocation of their sub-district until after they have consented to participate and all baseline data collection is complete. The trial nurse will also be blind to the allocation. The trial coordinator will assign a unique trial identifier (ID) to each new participant and will determine the allocation of all new recruits using the secure allocation list....",Described‚ truly random ,Concealed,Yes
70,Results,PMC8938762,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8938762/,"...An independent statistician, masked to the intervention or control label, used a computer programme to randomly choose the allocation sequence from the set of optimal ones....Randomisation of subdistricts was carried out before participant recruitment by an independent statistician....To prevent an imbalance for potential confounding factors an independent statistician employed an optimisation algorithm calculated for subdistrict mean WHODAS score at PRIME baseline and the potential number of participants per subdistrict....The statistician was masked to the intervention or control label....",Described‚ truly random ,Concealed,Yes
