PairID,Protocol/Results,PMCID,Link,Text,Study protocol (with or without SAP) availability,Used full article
79,Protocol,PMC4074338,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4074338/,,Not reported,No
79,Results,PMC4919206,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919206/,,Not reported,No
80,Protocol,PMC5838559,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5838559/,,Not reported,No
80,Results,PMC7654934,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7654934/,...The study design and rationale for EVAPORATE have been published previously.9...,Publicly available,No
81,Protocol,PMC3039582,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3039582/,,Not reported,No
81,Results,PMC3636795,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3636795/,...The protocol for the Chronic Renal Impairment in Birmingham- Phosphate study has been previously published.42...,Publicly available,No
82,Protocol,PMC8053307,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8053307/,,Not reported,No
82,Results,PMC8747778,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8747778/,...More detailed analysis methods are included in the statistical analysis plan (see appendix 1 (Statistical Analysis Plan))....,Not reported,No
83,Protocol,PMC5422966,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5422966/,,Not reported,No
83,Results,PMC8820776,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8820776/,"...The study protocol has been published and is also available at www.ssorg.net.11...Individual participant data that underlie the results reported in this article, after de-identification (text, tables, figures, and appendices), and study protocol, statistical analysis plan, and analytic code will be shared with investigators whose proposed use of the data has been approved by an independent review committee (“learned intermediary”) identified for this purpose, and after assuring that this data-sharing complies with ethical permissions....",Publicly available,No
84,Protocol,PMC4617887,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617887/,,Not reported,No
84,Results,PMC6613852,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6613852/,...The trial is registered at ClinicalTrials.gov ( NCT02246335) and a detailed study protocol has been published previously14....,Publicly available,No
85,Protocol,PMC4738785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4738785/,,Not reported,No
85,Results,PMC7083321,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7083321/,"...The procedures involved in identifying and assessing these camps, in addition to the multi-step, geographically-informed, probability-based sampling methods used to randomly select eligible camps while reducing the risk of contamination are detailed in the study protocol paper [22]....Details of the CAB and the process used to randomly assign camps to study condition can be found in the study protocol paper [22]....#### S1 Protocol (DOCX)...",Publicly available,No
86,Protocol,PMC4660775,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4660775/,,Not reported,No
86,Results,PMC8899208,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8899208/,...Full details of the trial protocol have been published elsewhere (14)....,Publicly available,No
87,Protocol,PMC4696142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4696142/,,Not reported,No
87,Results,PMC5562172,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562172/,...Detailed methods were published previously.24...,Publicly available,No
88,Protocol,PMC5961554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5961554/,,Not reported,No
88,Results,PMC8801800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8801800/,"...In contrast to the previously published protocol (Lyu et al., 2018), this study included patients with AECB with symptoms similar to those with acute bronchitis but excluded those who required glucocorticoids or antibiotic treatment....A detailed list of inclusion and exclusion criteria is provided in the protocol (Lyu et al., 2018)....",Publicly available,No
89,Protocol,PMC3407514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3407514/,,Not reported,No
89,Results,PMC5293604,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5293604/,...The study protocol has been previously published19....The interventions have been described in detail previously19....,Publicly available,No
90,Protocol,PMC5898565,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5898565/,,Not reported,No
90,Results,PMC6347742,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6347742/,"...We have previously reported the study design, rationale and protocol overview [22]....The treatment protocol has previously been described [22]....",Publicly available,No
91,Protocol,PMC4683762,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4683762/,,Not reported,No
91,Results,PMC9131673,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9131673/,"...Methods are also reported in Palavras et al. (2021; 2015) [15, 16] and changes from the published protocol paper [16] and as reported in the Trial registration (clinicaltrials.gov) are reported in the Supplementary online File 1....All the instruments used in this RCT have been detailed in the previously published papers [15, 16], with all presenting suitable psychometric properties....",Publicly available,No
92,Protocol,PMC6503132,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503132/,,Not reported,No
92,Results,PMC8228047,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8228047/,"...Details of the methods for the RRIPP-3 study have been provided elsewhere [13]....Additional information about the DS products can be found in the detailed methods publication [13]....Based on power calculations as detailed in our previously published methods paper [13], a total analytic sample size of 268 participants was required....Details of the data acquisition and analytic approach are provided elsewhere [13]....",Publicly available,No
93,Protocol,PMC4966873,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4966873/,,Not reported,No
93,Results,PMC9224093,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9224093/,...The study protocol is described in a previous article conducted by González- Ortega et al. [34]....The assessment protocol is widely described in a previous article by González- Ortega et al. [34]....,Publicly available,No
94,Protocol,PMC3146889,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3146889/,,Not reported,No
94,Results,PMC4010222,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4010222/,...The protocol for this study has been previously described.17...,Publicly available,No
95,Protocol,PMC3155829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3155829/,,Not reported,No
95,Results,PMC5023160,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5023160/,"...#### S1 Protocol Clinical trial protocol. Protocol for a Phase II Randomized, Parallel Arm, Open-Labeled Clinical Trial to Assess the Safety and Efficacy of the Combination of Sodium Stibogluconate Plus Single Dose Ambisome, Miltefosine Plus Single Dose Ambisome and Miltefosine Alone for the Treatment of Primary Visceral Leishmaniasis in Eastern Africa. (PDF)...",Publicly available,No
96,Protocol,PMC4807574,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4807574/,,Not reported,No
96,Results,PMC6657860,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6657860/,"...Inclusion criteria, exclusion criteria, and the rest of the study protocol were previously published [21]....",Publicly available,No
97,Protocol,PMC4827169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4827169/,,Not reported,No
97,Results,PMC6296522,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6296522/,...Study design and methods have previously been described in greater detail [19]....A detailed description of applied tests has previously been published [19]....,Publicly available,No
98,Protocol,PMC3543344,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3543344/,,Not reported,No
98,Results,PMC5412730,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5412730/,"...Our participatory approach has been described in depth elsewhere, but included a partnership structure consisting of community and academic co-primary investigators and a community-university research team with representation from seven community partner organizations (two clinics, one school system, and four social service agencies).24...",Publicly available,No
99,Protocol,PMC3165063,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3165063/,,Not reported,No
99,Results,PMC6355152,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6355152/,"...The design of the FIRSTT study, as well as participants’ baseline parameters, periprocedural outcomes, and adverse events have been reported previously.10–12...Full inclusion and exclusion criteria have been reported elsewhere10 and are listed in the Box....",Publicly available,No
100,Protocol,PMC3661346,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3661346/,,Not reported,No
100,Results,PMC6982403,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6982403/,,Not reported,No
