PairID,Protocol/Results,PMCID,Link,Text,Blinding/masking (check all who were masked),Used full article
53,Protocol,PMC3720554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3720554/,,Not reported,No
53,Results,PMC4371624,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371624/,,Not reported,No
54,Protocol,PMC4248299,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4248299/,"...Trial co-ordinators and those providing clinical care will not be masked to treatment allocation, however, all members of the research team performing post-randomisation clinical assessments will be blinded....Blinding will be maintained when performing assays of biochemical biomarkers and imaging study interpretation....",Intervention providers_unblinded | Outcome assessors_blinded,No
54,Results,PMC6365841,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365841/,"...FAIT is a two group parallel assessor blinded pragmatic randomised controlled study with 1:1 allocation....However, clinicians performing follow-up clinical assessments (hip range of movement and impingement tests) were blinded to the treatment group....",Outcome assessors_blinded,No
55,Protocol,PMC5134092,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5134092/,"...The intervention, the outcome, and the group assignment are not revealed to the participants, And the health care professionals also remain blinded....",Patients/participants_blinded | Intervention providers_blinded,No
55,Results,PMC6714428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6714428/,...The intervention and the outcome were not disclosed to participants. The healthcare professionals also remained blinded....,Patients/participants_blinded | Intervention providers_blinded,No
56,Protocol,PMC5654192,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5654192/,"...The RCCS study team members assessing outcomes, including the primary analyst, will be blinded to intervention assignment....",Outcome assessors_blinded | Data analysts_blinded | Intervention providers_unblinded | Patients/participants_unblinded,Yes
56,Results,PMC7787382,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787382/,...The study team and primary analyst were blinded to the intervention assignment during analyses....,Outcome assessors_blinded | Data analysts_blinded | Intervention providers_unblinded | Patients/participants_unblinded,Yes
57,Protocol,PMC6887087,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6887087/,,Not reported,No
57,Results,PMC8475664,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8475664/,...Participants and investigators were blinded to the treatment group for the duration of the study....,Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded,No
58,Protocol,PMC6327461,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6327461/,"...The present study is a prospective, randomized controlled, clinical trial with blind evaluator in order to assess whether EMDR adds value to the treatment in chronic tinnitus patients....",Outcome assessors_blinded,No
58,Results,PMC7511540,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7511540/,"...This prospective, randomized, controlled clinical trial with blind evaluator was conducted at the University Hospital of Antwerp and the multidisciplinary private practice Hoorzorg Van Looveren in Borsbeek, Belgium....Patients were masked to the treatment group allocation....The investigators, as well as the TRT-therapist, were also masked to the treatment group....",Outcome assessors_blinded | Patients/participants_blinded | Intervention providers_unblinded,Yes
59,Protocol,PMC6647387,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6647387/,...### Table 2 Summary of the trial registry...Randomization will be performed with a computer-generated randomization schedule provided by the Department of Medical Statistics of the Medical University of Innsbruck (MUI) in a blinded fashion for the study team and patients....Patients will receive these kits in chronological order from blinded study team members at the baseline visit....,Outcome assessors_blinded | Patients/participants_blinded | Intervention providers_blinded,Yes
59,Results,PMC7540547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7540547/,,Not reported,No
60,Protocol,PMC3567958,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3567958/,"...Although the surgeons cannot be masked, because they will be performing the intervention, the patient, the treating neurologist, the outcome assessors (such as the investigators who will measure the functional end points), the two physiatrists of the Functional Endpoint Committee, the neuroradiologist responsible for centralized measurement of MRI and the statistician responsible for data analysis will be masked to the assigned treatment....",Intervention providers_unblinded | Patients/participants_blinded | Outcome assessors_blinded | Data analysts_blinded,Yes
60,Results,PMC5833494,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5833494/,"...Patients, all other study investigators, and operating room and hospital personnel were blinded to assignment. To maintain patient blinding, surgeons were trained to deliver a catheter venography intervention that simulated venous PTA....The scans were assessed by an experienced specialist blinded to treatment assignment....",Patients/participants_blinded | Intervention providers_unblinded | Outcome assessors_blinded | Data analysts_blinded,Yes
61,Protocol,PMC6869182,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6869182/,,Not reported,No
61,Results,PMC7439552,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7439552/,,Not reported,No
62,Protocol,PMC4031497,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4031497/,"...Though we will not be able to blind patients and clinicians to use of the decision aid, we will blind the investigators and individuals not involved in providing care to the patient allocation....The patient’s risk will be calculated using the QPTP calculator for study purposes, however, the patient and clinician will be blinded to the QPTP-structured risk assessment and the corresponding decision aid in this arm....",Patients/participants_unblinded | Intervention providers_unblinded | Outcome assessors_blinded,No
62,Results,PMC5152707,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5152707/,...All other investigators were blinded to allocation....,Patients/participants_unblinded | Intervention providers_unblinded | Outcome assessors_blinded | Data analysts_blinded,Yes
63,Protocol,PMC3179718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3179718/,...Assessments regarding clinical recovery will be conducted by an assessor blind to treatment allocation....,Outcome assessors_blinded,No
63,Results,PMC6371462,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371462/,"...The level of blinding at the one-year follow-up was focused on the assessor-blinded interviews, because blinding at the data analysis level was compromised during the posttreatment investigation....The assessment of clinical recovery (i.e., functioning and symptoms) was conducted through interviews with an assessor who was blinded to the treatment group allocation....",Outcome assessors_blinded | Data analysts_unblinded,No
64,Protocol,PMC4672547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4672547/,"...The trial is observer- blinded, as measurement of psychiatric symptoms and neurocognitive function is performed by research staff blinded for group allocation....",Outcome assessors_blinded,No
64,Results,PMC7457274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7457274/,"...Briefly, the study was designed as a randomized, controlled, parallel- group, observer-blinded clinical trial with the aim of investigating the effects of a supervised high-intensity interval training program on maximal oxygen uptake (VO2max), cognitive function and psychiatric symptom load in outpatients with schizophrenia....",Outcome assessors_blinded,No
65,Protocol,PMC3263442,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3263442/,,Not reported,No
65,Results,PMC4947351,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4947351/,,Not reported,No
66,Protocol,PMC3503643,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503643/,...Interviewers conducting the baseline survey were blinded to the allocation of the intervention....,Outcome assessors_unblinded,Yes
66,Results,PMC4243194,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4243194/,"...At baseline, interviewers conducting the baseline survey were blinded as to the allocation of the intervention....",Outcome assessors_unblinded,Yes
67,Protocol,PMC5337660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5337660/,,Not reported,No
67,Results,PMC7592285,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7592285/,,Not reported,No
68,Protocol,PMC6180640,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6180640/,,Not reported,No
68,Results,PMC7451542,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7451542/,,Not reported,No
69,Protocol,PMC3260439,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3260439/,"...Randomisation will be computer generated while the participants will not be aware of their intervention group (single blind)....In order to ensure and increase internal validity the urine cotinine and nicotine analysis will be performed in a separate collaborating laboratory who will be blinded in regards to participant smoking status (smoker/quitter), study group (intervention/control) and sample collection date (pre/post intervention)....",Patients/participants_blinded | Outcome assessors_blinded | Intervention providers_unblinded,No
69,Results,PMC7846038,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7846038/,...Patients were blinded to their study assignment group (single blind)....,Patients/participants_blinded | Intervention providers_unblinded | Outcome assessors_unblinded | Data analysts_unblinded,No
70,Protocol,PMC4919867,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919867/,...In order to reduce information bias data collectors will be masked to sub- district allocation; participants will be requested not to divulge treatment allocation to data collectors; participants from different sub-districts will be allocated to each data collector; identical methods for follow-up will be employed in each arm; and those involved in data analysis will be masked to sub-district allocation....,Outcome assessors_blinded | Patients/participants_unblinded | Data analysts_blinded,No
70,Results,PMC8938762,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8938762/,...Researchers responsible for recruiting participants and collecting outcome data were masked to allocation status....All coauthors (except RB) remained masked until the final analysis was complete....,Outcome assessors_blinded | Intervention providers_blinded | Data analysts_blinded,No
71,Protocol,PMC3193523,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193523/,...All assessment personnel are masked to randomization assignment....,Outcome assessors_blinded,No
71,Results,PMC4266388,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4266388/,...All records for hospitalizations were obtained and outcomes were reviewed and adjudicated independently by two experts who were blinded to the group randomization....,Outcome assessors_blinded,No
72,Protocol,PMC6597746,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6597746/,"...Nebulisation will be offered in a separate room, and both subjects and the pulmonary function test technician will be blinded to the group....",Patients/participants_blinded | Outcome assessors_blinded,No
72,Results,PMC8539308,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8539308/,...The PFT technician who performed spirometry tests was blinded for the randomization....,Outcome assessors_blinded,No
73,Protocol,PMC5765655,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5765655/,...Patients were blinded to which treatment group they were randomized....,Patients/participants_blinded,No
73,Results,PMC7282578,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7282578/,...Patients were not notified of their randomization allocation....,Not Reported,No
74,Protocol,PMC4037747,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4037747/,"...Participants, families, healthcare providers, data collectors, outcome adjudicators, and data analysts are blinded....",Patients/participants_blinded | Outcome assessors_blinded | Data analysts_blinded | Intervention providers_blinded,No
74,Results,PMC7242434,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7242434/,"...Participants and their parents or guardians, trial and clinical staff, and specimen and data analysts remained blinded to treatment assignment through the use of a placebo that was identical in appearance, smell, and weight to the intervention agent (i.e., probiotic)....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,No
75,Protocol,PMC5634880,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5634880/,"...Both investigators and participants will be blind to the allocations....Participants, investigators, and the clinical trial pharmacist will be blinded to the treatment allocation throughout the course of the study....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,Yes
75,Results,PMC9822771,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9822771/,...Both participants and investigators were blinded to the treatment allocation throughout the study....,Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded,No
76,Protocol,PMC4363354,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4363354/,,Not reported,No
76,Results,PMC5873374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5873374/,,Not reported,No
77,Protocol,PMC4328054,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4328054/,,Not reported,No
77,Results,PMC8538243,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8538243/,,Not reported,No
78,Protocol,PMC7931026,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7931026/,"...These procedures ensure the blinding of the participants and research personnel, including the assessors (M.B.S. and J.J.) and therapists....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,No
78,Results,PMC9225274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9225274/,"...These procedures ensured that the participants, therapists, assessors, and statistician were blinded to the group allocation....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,No
79,Protocol,PMC4074338,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4074338/,...The research assistant conducting assessments for a participant is blind to every participants’ assigned treatment condition....,Outcome assessors_blinded,No
79,Results,PMC4919206,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919206/,,Not reported,No
80,Protocol,PMC5838559,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5838559/,,Not reported,No
80,Results,PMC7654934,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7654934/,,Not reported,No
81,Protocol,PMC3039582,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3039582/,"...Analysis will be performed offline (Argus Software, Siemens, Erlangen, Germany) by a single blinded observer for the assessment of ventricular volumes (end-diastolic, end-systolic and stroke volumes), function (ejection fraction) and left ventricular mass [23,25]....Analysis will be performed offline by a single blinded observer using an EchoPAC workstation (GE Vingmed Ultrasound, Horten, Norway)....Scans will be reported by an experienced bone densitometry clinical scientist blinded to clinical data....",Outcome assessors_blinded,No
81,Results,PMC3636795,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3636795/,"...Analysis was performed offline (Argus Software; Siemens, Erlangen, Germany) by a single blinded observer (C.D.C.) using manual planimetry for determination of ventricular volumes (end diastolic, end systolic, and stroke volumes), function (ejection fraction), and LV mass, which was indexed to body surface area....",Outcome assessors_blinded,No
82,Protocol,PMC8053307,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8053307/,"...This is a double-blind study with the treating physician and patients blinded....The trial is double-blind, meaning that the participants, investigators and other study staff are unaware of the treatment assignment....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,No
82,Results,PMC8747778,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8747778/,"...Participants, investigators, and study staff remained unaware of the treatment assignment....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,No
83,Protocol,PMC5422966,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5422966/,"...Hospital staff are not actively informed about the patient’s allocation....However, registration regarding complications, hospital length of stay, re-operations, re-admittances, mortality and sick leave will be blinded. The nurses and surgeons responsible for providing care during the hospital stay are not actively informed about allocation....",Patients/participants_unblinded | Intervention providers_unblinded | Outcome assessors_blinded,Yes
83,Results,PMC8820776,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8820776/,"...Medical staff was not actively informed about allocation during hospital care, and outcome assessors for postoperative complications and length of hospital stay were masked regarding allocation....Information regarding postoperative complications, length of hospital stays, readmissions, and reoperations were collected to case report forms from healthcare records by a single investigator masked regarding allocation....After 100 recruited participants, a preplanned interim sample size re- estimation was performed by an external independent data monitoring committee masked regarding allocation.11...",Patients/participants_unblinded | Intervention providers_unblinded | Outcome assessors_blinded,Yes
84,Protocol,PMC4617887,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617887/,"...Randomization will be stratified for gender and patients will be blinded for the assigned treatment during the first two years of follow-up....The data will then be blinded correspondingly in all data analyses....However, patients are blinded to their treatment and thus would not affect the patient reported outcome....",Patients/participants_blinded | Data analysts_blinded | Outcome assessors_blinded,No
84,Results,PMC6613852,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6613852/,"...The participants were blinded to the choice of treatment, but the surgeons and staff were not. They were, however, mindful that patients were blinded and were instructed to not reveal allocation to the patients....",Patients/participants_blinded | Intervention providers_unblinded,No
85,Protocol,PMC4738785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4738785/,,Not reported,No
85,Results,PMC7083321,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7083321/,,Not reported,No
86,Protocol,PMC4660775,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4660775/,"...Trial participants, investigators, data collectors, the statistician, and outcome assessors are blinded to the study-group assignments....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,No
86,Results,PMC8899208,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8899208/,"...This trial was designed as a randomized, placebo-controlled, two-group, parallel, quadruple (participant, care provider, investigator and outcomes assessor) blind superiority trial of 36 participants with an allocation ratio of 1:1....Trial participants, investigators, data collectors, the statistician, and outcome assessors were blinded to the study-group assignments....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,No
87,Protocol,PMC4696142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4696142/,,Not reported,No
87,Results,PMC5562172,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562172/,,Not reported,No
88,Protocol,PMC5961554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5961554/,"...After that, just the identification code is used to identify which drug to give to which participant....This is a double-blind trial, thus neither participants nor investigators (including outcome assessors) will be aware of group assignment until the end of the study period....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,No
88,Results,PMC8801800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8801800/,"...This was a double-blind trial; thus, neither participants nor investigators (including outcome assessors) were aware of group assignment until the end of the study period....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded,No
89,Protocol,PMC3407514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3407514/,...Medical record reviewers will be blinded to the randomization status of the participants....,Outcome assessors_blinded,No
89,Results,PMC5293604,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5293604/,...Investigators and statisticians were blinded to the randomization status of participants....,Data analysts_blinded | Intervention providers_blinded | Outcome assessors_blinded,No
90,Protocol,PMC5898565,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5898565/,...Neither the patients nor the clinicians will be aware of the type of adjuvant hCG administration because of the use of placebo....The study will be blinded to both physicians and the patients....,Patients/participants_blinded | Intervention providers_blinded,No
90,Results,PMC6347742,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6347742/,...The study was blinded to both the clinical staff and the subjects....,Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,Yes
91,Protocol,PMC4683762,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4683762/,"...Single blinding will be achieved by not informing participants of any specific details of the therapy content....Participants will not be informed if they will be in a HAPIFED or in a CBT-E therapy group at any point, and any treatment materials provided to participant will not be identified as being from either HAPIFED or CBT-E manuals....Researchers conducting outcome data entry will be blind to the study group of participants....",Patients/participants_blinded | Intervention providers_unblinded | Outcome assessors_blinded,Yes
91,Results,PMC9131673,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9131673/,"...The randomization of the 98 participants occurred after the first individual session in the interventions, which was the same for all participants regardless of intervention (described below), and they were blind to their group allocation until completion of the RCT (end of 12-month follow-up). The statistician and the recruiters (with the exception of the dietitian who performed anthropometric measurements) were also blind to treatment group....",Patients/participants_blinded | Intervention providers_unblinded | Outcome assessors_unblinded | Data analysts_blinded,Yes
92,Protocol,PMC6503132,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503132/,...This enabled all participants to receive the treatment supplements and remain blinded....,Patients/participants_blinded,No
92,Results,PMC8228047,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8228047/,"...Study participants then signed the informed consent and HIPAA documents, participated in the baseline enrollment study series of assessments, were randomized using a blinded code system generated and known only by the lead study statistician and the medical monitor, and received their first 8-week supply of study DSs....",Patients/participants_blinded,Yes
93,Protocol,PMC4966873,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4966873/,,Not reported,No
93,Results,PMC9224093,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9224093/,...The assessment was carried out by a researcher who was blind to the patient allocation process....,Outcome assessors_blinded,No
94,Protocol,PMC3146889,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3146889/,"...The research team will be blinded to the results of the randomization....Because the EPA and DHA capsules are not identical in appearance, all subjects will receive some placebo capsules....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,Yes
94,Results,PMC4010222,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4010222/,,Not reported,No
95,Protocol,PMC3155829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3155829/,,Not reported,No
95,Results,PMC5023160,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5023160/,...The laboratory technologists reading the slides were blind to treatment allocation....,Outcome assessors_blinded,No
96,Protocol,PMC4807574,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4807574/,...The allocation was concealed from the two independent observers assessing participants and data managers....,Outcome assessors_blinded,No
96,Results,PMC6657860,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6657860/,,Not reported,No
97,Protocol,PMC4827169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4827169/,...The research assistants were blinded to the randomization result for measurement of the outcomes and for data entry....,Outcome assessors_blinded,No
97,Results,PMC6296522,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6296522/,...The scoring of all tests was blinded to the investigators....,Outcome assessors_blinded,No
98,Protocol,PMC3543344,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3543344/,,Not reported,No
98,Results,PMC5412730,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5412730/,,Not reported,No
99,Protocol,PMC3165063,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3165063/,,Not reported,No
99,Results,PMC6355152,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6355152/,,Not reported,No
100,Protocol,PMC3661346,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3661346/,...The measurement and intervention teams function independently so as to blind members of the former group to each school’s randomization status throughout the entire study....,Outcome assessors_blinded | Intervention providers_unblinded,Yes
100,Results,PMC6982403,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6982403/,...The measurement coordinator re-trained any staff members who experienced lapses in accuracy and ensured all staff were blinded to condition....,Outcome assessors_blinded,No
